cgpa,tenth_percent,twelfth_percent,backlogs,internships,projects,certifications,communication_skill,coding_skill,aptitude_score,technical_skill_score,extracurricular,ats_score,academic_score,experience_score,skill_score,placed
7.07,80.6,54.3,3,0,2,2,5,4,27.8,38.4,1,91.2,0.691,0.2,0.3935,0
6.28,62.7,58.9,1,0,4,1,6,4,20.6,76.4,2,49.0,0.6178,0.28,0.4017,0
6.29,52.2,55.3,1,1,3,0,5,5,37.8,33.1,1,49.5,0.5834,0.3467,0.4633,0
7.92,58.5,69.2,1,2,3,1,5,3,20.0,49.7,1,54.4,0.7151,0.5533,0.33,1
8.02,72.1,84.3,0,0,3,3,3,4,47.0,32.9,1,43.5,0.7918,0.3,0.3909,0
7.8,62.1,88.0,0,1,3,1,6,5,68.5,59.0,1,23.1,0.7652,0.3867,0.5855,1
6.47,76.5,74.6,0,2,2,2,6,3,63.3,72.6,1,34.8,0.7011,0.5333,0.49,1
7.46,50.3,95.8,2,2,2,0,4,4,76.5,20.0,2,43.5,0.7381,0.4533,0.5095,0
7.33,46.5,63.4,0,0,2,0,3,4,64.7,66.1,1,45.9,0.641,0.12,0.444,0
7.44,88.5,46.8,0,2,2,1,7,5,50.7,82.7,1,41.2,0.7101,0.4933,0.5622,1
8.16,82.8,81.7,1,1,1,1,8,6,48.5,57.2,1,28.1,0.8193,0.2667,0.6256,1
7.45,59.4,44.1,0,1,3,3,5,6,65.9,43.5,1,45.0,0.6311,0.4667,0.5876,1
7.95,72.0,58.2,0,1,2,3,4,2,30.5,54.4,0,75.1,0.7227,0.4067,0.2914,1
7.27,84.2,74.8,0,0,2,0,7,7,20.0,45.7,2,42.9,0.7612,0.12,0.55,1
7.52,77.0,66.7,0,2,1,0,6,5,65.0,88.4,2,51.7,0.7352,0.3933,0.5751,1
7.89,73.8,65.5,0,1,1,1,5,4,62.2,69.2,0,81.0,0.743,0.2667,0.4967,1
5.6,85.1,52.6,2,1,2,3,7,3,86.2,70.3,1,42.6,0.6243,0.4067,0.5887,0
6.85,63.2,67.9,1,2,2,2,4,8,70.5,91.6,0,98.0,0.6701,0.5333,0.6516,0
6.68,72.4,81.0,0,1,0,3,4,9,63.6,77.9,4,71.1,0.7177,0.2867,0.6707,1
6.5,71.8,68.3,1,0,1,1,6,8,52.4,52.9,0,56.4,0.675,0.1,0.6571,0
6.9,68.7,57.2,1,0,2,2,5,5,43.4,55.4,3,50.5,0.6597,0.2,0.4802,0
8.84,67.3,51.8,1,2,1,2,6,5,53.0,95.1,2,79.2,0.74,0.4733,0.5389,1
6.25,72.9,57.5,3,1,1,2,7,7,75.2,42.4,4,42.5,0.6383,0.3067,0.7156,1
8.27,72.4,73.1,2,2,3,1,2,4,66.3,52.1,2,47.2,0.777,0.5533,0.419,0
5.35,59.4,72.5,0,0,3,1,5,6,74.8,37.8,1,83.9,0.5972,0.22,0.6144,1
6.83,81.6,57.6,0,1,4,1,8,5,59.9,24.1,1,48.2,0.6896,0.4467,0.6198,1
7.38,60.3,40.0,0,2,1,5,4,8,41.8,40.0,1,46.6,0.6197,0.5933,0.5654,1
7.84,69.4,73.5,0,1,1,1,4,7,78.9,40.4,0,43.1,0.7493,0.2667,0.6367,1
7.98,68.5,56.3,3,0,0,2,1,4,77.3,44.4,4,20.2,0.7111,0.08,0.4218,0
8.07,76.3,77.0,1,0,2,4,5,8,61.3,65.4,1,73.3,0.7868,0.28,0.654,1
6.82,46.6,58.2,0,2,0,2,6,4,68.0,54.8,1,54.2,0.6027,0.4133,0.544,1
6.69,82.7,55.2,3,1,1,1,6,3,67.0,72.2,0,74.3,0.6792,0.2667,0.5011,0
8.14,63.9,70.0,1,0,2,0,3,4,49.6,57.6,1,52.0,0.7419,0.12,0.3987,0
6.99,86.6,98.7,0,1,2,3,5,5,53.3,58.0,0,47.4,0.8127,0.4067,0.51,1
5.8,66.3,77.7,2,0,2,4,5,3,41.6,50.0,0,43.1,0.6498,0.28,0.3949,0
5.95,71.4,69.8,0,0,2,5,5,3,53.3,88.1,1,67.3,0.6506,0.32,0.4298,0
6.19,95.0,72.7,0,0,3,1,3,2,76.6,47.8,0,40.5,0.7285,0.22,0.3997,1
7.75,68.7,45.2,0,0,2,4,5,3,73.1,70.6,2,61.9,0.6721,0.28,0.4894,1
7.36,86.9,53.4,3,2,1,1,4,5,68.1,34.9,1,55.7,0.7185,0.4333,0.5242,0
7.96,72.5,40.0,0,0,2,2,2,7,75.3,50.9,1,36.2,0.6791,0.2,0.5658,1
6.73,77.0,90.5,0,2,0,1,6,6,51.4,89.1,2,46.9,0.7552,0.3733,0.5743,1
7.37,72.8,87.9,1,1,0,1,5,5,36.9,66.6,2,55.2,0.7705,0.2067,0.4606,0
7.89,82.2,73.1,2,0,2,2,6,1,55.2,31.2,1,49.4,0.7826,0.2,0.3855,0
6.86,63.8,69.8,0,0,1,1,4,3,56.6,37.5,3,89.1,0.6768,0.1,0.4098,0
7.7,60.2,47.8,0,0,0,4,6,4,70.2,82.2,1,59.2,0.6552,0.16,0.5505,1
6.47,64.3,65.1,3,1,2,1,7,6,67.2,56.5,2,51.5,0.6473,0.3267,0.6516,0
6.8,73.2,91.3,1,2,3,3,8,3,76.2,50.3,2,48.5,0.7513,0.6333,0.5886,1
6.78,69.4,69.7,0,1,1,1,6,2,21.7,41.8,0,50.9,0.6867,0.2667,0.3252,1
5.88,80.5,60.7,0,1,2,0,6,7,43.6,49.6,1,44.1,0.6472,0.2867,0.5909,1
7.74,87.7,45.1,0,2,5,1,3,3,56.4,79.0,0,40.2,0.7188,0.6733,0.3791,1
6.68,60.3,85.9,1,1,1,3,5,2,66.6,43.1,1,65.8,0.6998,0.3467,0.4299,0
7.21,63.2,67.1,1,1,3,3,2,5,95.7,44.8,0,82.7,0.6864,0.4667,0.5471,1
7.73,54.8,45.2,1,1,1,0,4,4,40.4,65.2,2,46.9,0.6363,0.2267,0.4012,0
7.69,96.4,56.0,0,0,4,1,9,3,45.2,37.3,0,62.7,0.7654,0.28,0.5257,1
7.93,75.7,51.4,2,0,0,1,3,5,50.4,39.1,0,43.0,0.7142,0.04,0.4411,0
7.09,77.8,66.3,0,1,1,2,1,3,44.6,55.1,0,56.9,0.7147,0.3067,0.2837,0
6.73,55.9,70.7,2,1,5,2,6,3,42.0,55.5,2,31.4,0.6533,0.5467,0.426,1
7.11,72.0,61.5,0,0,2,3,4,4,58.8,41.2,0,39.6,0.6892,0.24,0.4565,1
5.34,78.1,78.1,0,3,1,1,6,1,75.7,63.0,1,39.0,0.6577,0.6,0.4471,1
5.61,69.0,69.0,0,0,3,0,3,6,60.1,58.7,0,52.4,0.6254,0.18,0.5104,1
5.75,84.9,81.8,0,1,3,0,4,2,42.5,21.5,0,33.9,0.704,0.3467,0.3276,0
6.1,99.7,63.4,0,3,2,4,7,3,54.5,68.3,2,15.0,0.7129,0.78,0.4934,1
7.64,60.6,100.0,1,0,1,2,3,7,39.3,45.3,2,30.3,0.7836,0.14,0.4879,0
6.2,59.7,60.7,2,2,1,1,5,6,75.7,68.7,2,51.9,0.6112,0.4333,0.6171,1
6.78,61.5,56.3,0,2,4,3,6,5,84.5,90.4,3,40.7,0.6335,0.6933,0.6334,1
8.63,91.3,54.7,0,1,1,2,4,1,29.3,53.9,3,44.6,0.7963,0.3067,0.2479,1
6.81,84.5,65.3,0,3,1,1,5,3,62.1,44.0,2,59.8,0.7148,0.6,0.4564,1
8.01,70.4,45.6,2,1,1,0,5,4,44.0,78.4,0,40.2,0.6906,0.2267,0.442,0
6.17,72.4,71.8,0,1,1,3,6,4,59.1,40.7,0,53.6,0.6693,0.3467,0.5174,0
6.97,62.2,43.2,0,1,2,2,8,7,56.5,87.2,4,93.5,0.6123,0.3667,0.6894,1
6.15,82.7,70.1,0,0,2,1,10,8,33.9,47.1,1,48.1,0.6897,0.16,0.7216,1
6.83,67.4,50.4,0,0,0,1,6,6,79.8,44.3,1,51.3,0.636,0.04,0.6593,0
8.12,68.9,63.0,1,0,1,1,5,3,55.3,95.2,1,61.8,0.736,0.1,0.4358,1
5.3,79.3,75.9,0,0,0,2,6,7,49.5,61.2,2,40.3,0.6529,0.08,0.6086,0
7.68,69.7,98.0,0,2,0,1,5,3,60.1,82.6,1,44.3,0.8031,0.3733,0.4503,1
7.46,69.2,54.0,2,2,1,1,2,1,42.3,54.6,0,53.3,0.681,0.4333,0.227,0
6.55,72.1,66.0,0,3,3,1,5,2,54.7,53.3,0,58.5,0.6728,0.72,0.3941,1
5.61,81.5,58.6,1,0,0,5,7,1,24.9,20.0,1,38.3,0.6308,0.2,0.3248,0
7.28,91.8,56.7,0,1,1,1,2,4,20.0,72.2,3,65.0,0.7351,0.2667,0.28,0
6.62,79.0,58.7,2,1,2,1,3,4,40.5,61.5,1,82.8,0.6752,0.3267,0.3716,0
7.46,81.6,78.7,1,0,3,1,4,1,48.4,53.1,3,20.6,0.7737,0.22,0.3053,0
7.22,69.6,61.7,0,1,2,2,6,3,26.4,65.1,1,62.0,0.6893,0.3667,0.3791,1
8.96,63.5,97.2,2,0,5,3,9,2,49.0,55.7,3,53.4,0.85,0.42,0.4971,1
6.94,79.8,73.4,0,2,1,5,4,4,48.4,39.0,3,49.7,0.73,0.5933,0.4252,1
6.07,74.1,54.9,0,0,0,1,5,3,56.9,61.2,1,60.9,0.626,0.04,0.4407,0
7.4,54.9,63.2,1,2,0,1,5,7,69.1,51.8,1,79.8,0.6653,0.3733,0.6372,0
7.44,68.1,57.6,1,2,0,1,4,5,88.8,67.6,2,59.6,0.6862,0.3733,0.5865,1
8.7,71.0,78.4,0,1,5,3,5,8,65.7,50.2,0,72.3,0.8083,0.5867,0.6671,1
8.12,65.9,46.7,0,0,2,2,4,4,40.3,47.0,0,54.3,0.6874,0.2,0.4009,0
7.59,89.8,50.6,0,0,3,1,10,9,70.0,45.7,2,61.6,0.7305,0.22,0.87,1
8.81,77.8,60.3,1,3,5,2,6,5,83.2,40.0,3,45.2,0.7857,0.88,0.6296,1
5.89,88.5,76.9,3,0,3,1,4,3,37.8,46.1,1,55.7,0.708,0.22,0.3535,0
6.5,75.2,84.0,0,0,2,2,7,9,38.8,62.3,1,50.1,0.7228,0.2,0.6865,1
6.18,73.0,85.9,4,3,3,1,5,1,32.4,42.3,3,56.9,0.7063,0.72,0.2873,1
6.77,60.8,74.9,0,1,2,1,5,3,47.8,35.0,0,25.2,0.6777,0.3267,0.4135,1
5.69,72.1,66.9,1,1,1,0,5,1,64.7,68.4,3,34.9,0.6319,0.2267,0.3842,0
7.9,72.2,78.3,3,0,2,1,5,1,84.7,52.7,0,76.4,0.7712,0.16,0.4441,0
6.96,55.6,53.1,1,1,4,0,3,1,74.1,68.1,0,80.1,0.6196,0.4067,0.3522,0
5.58,65.5,44.0,0,2,3,2,2,6,64.9,51.3,0,23.8,0.553,0.5933,0.4948,1
6.08,68.1,73.7,0,0,2,2,6,2,58.8,45.3,0,44.8,0.6586,0.2,0.4365,0
7.54,77.0,54.9,0,0,3,2,5,4,65.0,25.4,0,41.5,0.707,0.26,0.5051,0
8.12,77.5,67.2,1,0,2,1,7,6,66.1,35.8,2,59.6,0.7678,0.16,0.6483,0
9.4,65.0,69.6,4,1,2,3,3,5,81.5,40.2,0,53.5,0.8063,0.4067,0.5344,1
10.0,77.6,71.2,0,0,1,3,3,5,57.6,59.8,3,67.2,0.8721,0.18,0.4629,1
7.66,69.8,80.2,0,2,1,2,6,7,62.7,53.1,1,30.7,0.7578,0.4733,0.6481,1
6.11,45.0,78.8,0,0,1,2,4,8,50.6,37.6,1,61.3,0.6151,0.14,0.5919,0
4.85,66.2,70.5,1,0,3,3,7,2,60.0,20.0,2,49.0,0.5845,0.3,0.4701,0
7.49,84.9,62.3,1,3,5,2,5,5,53.4,62.9,0,41.7,0.7427,0.88,0.5102,1
6.31,51.8,69.4,0,3,1,1,8,4,36.6,69.9,2,63.0,0.6183,0.6,0.5098,1
6.74,73.4,60.2,1,1,1,2,6,4,73.7,71.4,0,50.6,0.6712,0.3067,0.5612,0
6.53,91.0,65.4,0,2,0,0,6,1,84.8,38.6,2,53.2,0.7175,0.3333,0.4744,1
7.05,62.9,100.0,1,0,3,3,6,3,57.3,72.5,1,79.1,0.7594,0.3,0.472,1
8.37,72.0,70.4,0,1,2,2,5,4,64.0,64.6,0,56.3,0.7746,0.3667,0.5019,1
7.37,56.4,73.9,0,0,2,5,2,7,73.5,64.5,2,90.0,0.6942,0.32,0.5605,1
7.03,91.5,58.8,1,1,0,0,6,2,55.4,44.6,0,15.0,0.7272,0.1667,0.4263,0
6.06,71.0,81.3,1,1,0,2,8,1,61.4,52.7,4,54.8,0.6837,0.2467,0.4642,0
5.36,72.6,77.9,0,2,4,2,1,4,54.1,86.1,1,35.0,0.644,0.6533,0.3523,1
6.67,88.3,78.0,1,0,2,3,6,2,48.1,83.5,1,38.3,0.7488,0.24,0.4043,1
7.14,79.9,70.8,0,0,1,3,2,4,67.4,54.2,1,43.2,0.7339,0.18,0.4222,0
9.14,61.5,81.4,0,3,1,1,5,6,67.2,58.3,1,71.6,0.8146,0.6,0.5917,1
7.34,64.2,84.5,3,1,1,5,5,4,74.6,20.0,2,47.7,0.7391,0.4267,0.5338,0
8.28,77.9,71.7,3,0,0,5,6,4,57.9,75.5,1,34.5,0.7881,0.2,0.5138,0
6.65,64.5,66.5,0,0,0,4,5,4,36.4,67.7,1,66.9,0.6601,0.16,0.4192,0
5.9,46.6,79.6,3,0,3,2,7,6,77.9,60.9,0,33.7,0.6104,0.26,0.6838,0
6.14,71.4,56.2,1,0,1,3,7,2,44.8,44.8,3,85.1,0.6259,0.18,0.4243,0
6.4,54.2,58.7,0,0,2,0,5,6,44.5,56.1,1,31.8,0.6024,0.12,0.5234,1
9.54,91.4,67.3,0,1,2,1,7,2,48.4,79.9,1,49.8,0.8738,0.3267,0.4353,1
6.3,74.1,45.4,0,1,1,0,4,6,26.6,61.2,0,89.6,0.6135,0.2267,0.4398,1
8.12,61.1,78.8,1,1,2,2,4,1,54.1,99.7,0,49.2,0.7559,0.3667,0.3222,0
6.21,63.6,55.5,3,0,3,4,3,6,69.1,68.8,1,62.6,0.6081,0.34,0.5374,0
8.22,49.3,61.9,0,0,1,2,7,4,50.2,39.4,2,53.0,0.6892,0.14,0.5206,1
7.62,58.8,65.2,0,0,3,1,4,5,82.1,48.0,1,55.0,0.6913,0.22,0.5663,1
7.03,84.2,68.5,0,2,1,3,1,6,81.0,42.9,0,40.3,0.7332,0.5133,0.5129,1
7.16,98.8,63.5,0,1,1,2,6,3,74.0,69.6,1,63.2,0.7635,0.3067,0.522,1
6.48,80.7,67.1,2,0,0,1,4,4,23.2,74.6,1,78.9,0.6936,0.04,0.3495,0
7.69,70.9,67.2,0,1,2,2,4,5,83.8,84.2,0,20.0,0.7298,0.3667,0.5714,1
6.7,66.8,62.2,1,1,2,2,5,4,53.7,49.3,2,38.4,0.6575,0.3667,0.4712,0
5.85,60.5,57.9,0,1,3,2,4,6,88.2,63.0,0,45.1,0.5888,0.4267,0.6246,1
5.79,96.7,82.1,1,1,1,3,10,5,47.1,76.8,1,39.0,0.7367,0.3467,0.6414,1
7.39,69.7,40.6,1,3,2,1,8,3,55.5,81.3,2,66.6,0.6454,0.66,0.5265,1
8.94,97.4,65.3,1,0,0,1,6,7,59.6,34.1,0,44.1,0.8536,0.04,0.6388,0
7.38,88.7,61.9,0,1,1,2,5,6,41.2,65.5,2,56.5,0.7454,0.3067,0.5137,1
7.07,51.1,73.4,1,1,2,4,7,3,28.8,34.7,0,81.8,0.6649,0.4467,0.4165,1
7.51,64.0,49.1,1,1,0,1,5,3,20.0,44.8,2,22.7,0.6585,0.2067,0.33,0
8.64,64.0,61.5,1,0,2,3,6,4,100.0,32.8,0,60.7,0.7455,0.24,0.64,0
7.44,71.0,66.7,1,1,2,2,6,5,28.0,44.4,0,52.8,0.7163,0.3667,0.4639,0
6.75,71.3,81.9,2,0,3,0,5,1,28.2,30.4,0,52.8,0.7204,0.18,0.2746,0
8.42,100.0,72.3,0,1,3,1,7,3,68.3,34.9,1,38.7,0.8516,0.3867,0.5349,1
7.67,59.1,52.6,0,1,1,1,4,3,32.4,39.6,0,48.1,0.6628,0.2667,0.3371,0
8.89,74.7,61.7,3,0,0,0,5,2,29.0,60.2,1,54.9,0.7855,0.0,0.3171,0
7.4,79.4,79.5,0,3,2,1,3,2,20.0,55.6,2,51.7,0.7674,0.66,0.23,1
5.85,72.0,52.4,2,2,1,2,3,5,63.3,27.1,0,67.5,0.6036,0.4733,0.4798,0
5.7,73.3,67.0,1,1,1,2,1,4,38.7,100.0,0,35.3,0.6355,0.3067,0.3062,0
9.02,59.5,67.9,2,3,1,2,6,4,69.6,46.7,0,29.9,0.7692,0.64,0.5487,1
9.1,73.3,63.0,1,2,2,1,6,2,56.6,32.4,1,18.9,0.7955,0.4933,0.4299,1
7.0,78.1,100.0,2,0,2,1,7,4,59.5,64.9,1,57.5,0.7955,0.16,0.5486,0
6.78,75.9,62.6,1,1,0,3,3,1,49.8,54.9,2,68.6,0.6853,0.2867,0.2795,0
8.81,78.8,73.8,0,1,1,4,6,7,53.0,41.2,2,33.9,0.8221,0.3867,0.6191,1
5.98,89.0,58.0,0,1,1,3,5,8,41.9,61.6,2,32.3,0.6666,0.3467,0.5957,1
6.22,83.2,74.9,0,2,1,1,6,4,43.6,43.6,0,89.0,0.7061,0.4333,0.4708,1
7.91,72.9,79.3,0,1,3,4,4,2,38.3,50.0,2,78.0,0.7758,0.5067,0.3149,1
6.77,57.9,60.4,3,0,1,3,4,6,85.3,79.9,0,79.0,0.634,0.18,0.6158,0
7.19,64.8,67.3,0,1,1,0,2,6,50.9,57.1,2,61.3,0.6899,0.2267,0.4526,1
7.02,69.4,56.4,1,1,3,1,4,8,20.0,65.4,2,67.7,0.6653,0.3867,0.5,1
7.57,75.0,53.1,0,0,2,1,5,9,62.7,46.1,0,49.8,0.6989,0.16,0.698,1
8.75,66.3,81.5,0,0,1,2,5,1,43.5,57.6,1,29.4,0.8068,0.14,0.3206,0
7.3,60.8,60.8,4,0,3,2,2,7,57.2,41.9,0,30.3,0.6689,0.26,0.5116,0
7.91,57.7,40.0,0,1,2,1,4,4,53.1,41.1,2,55.1,0.6398,0.3267,0.4394,0
4.94,52.2,90.9,1,0,4,1,5,6,84.8,48.0,1,71.7,0.6051,0.28,0.6445,0
7.15,69.2,57.6,0,0,3,1,8,6,51.1,43.2,1,52.0,0.6742,0.22,0.6333,1
6.27,54.4,64.8,0,0,2,2,3,6,72.7,72.6,1,66.0,0.6115,0.2,0.5481,1
5.86,60.0,89.3,0,1,1,2,6,7,70.8,64.8,2,53.4,0.6663,0.3067,0.6724,1
6.23,67.3,66.2,1,0,2,1,4,3,33.4,20.0,2,60.5,0.6453,0.16,0.3402,0
6.83,56.0,65.9,0,0,1,2,4,3,61.4,84.3,2,68.9,0.6462,0.14,0.4241,0
8.21,76.6,52.0,2,1,2,5,3,7,44.4,65.9,3,79.0,0.7319,0.4867,0.5031,1
5.74,80.9,46.7,1,0,4,0,3,3,36.2,74.5,0,60.1,0.6061,0.24,0.3187,0
7.23,65.4,65.8,0,0,0,2,4,8,36.3,52.1,0,89.9,0.6898,0.08,0.5489,1
6.67,66.8,72.7,0,1,3,1,7,3,72.8,29.6,1,50.8,0.6821,0.3867,0.5484,1
6.84,78.4,72.0,0,0,2,1,4,4,100.0,32.5,0,78.8,0.718,0.16,0.58,0
8.3,63.4,61.7,1,0,1,3,3,4,43.5,84.0,1,65.5,0.7281,0.18,0.3805,0
7.79,62.6,68.3,0,0,3,4,5,1,61.9,27.3,4,22.0,0.7168,0.34,0.3757,0
8.67,86.4,44.1,0,0,2,1,5,1,63.6,30.4,1,80.4,0.7597,0.16,0.3808,1
7.03,82.6,74.0,0,1,2,1,5,6,48.5,47.6,0,38.5,0.743,0.3267,0.5354,0
6.43,79.2,70.1,0,3,2,0,5,1,83.3,31.5,4,50.5,0.695,0.62,0.44,1
6.95,83.1,93.7,1,0,1,2,3,10,97.5,64.1,1,70.7,0.7896,0.14,0.7826,1
7.47,48.3,68.1,0,1,1,0,3,4,47.2,65.4,0,41.6,0.6643,0.2267,0.3917,0
7.39,88.2,55.7,0,2,2,1,7,2,89.2,62.0,1,53.7,0.7297,0.4933,0.5577,1
6.01,76.7,67.3,0,1,3,0,5,5,48.2,44.6,0,66.8,0.6605,0.3467,0.4945,1
7.3,84.1,63.7,1,1,2,2,6,1,40.5,59.9,0,40.2,0.7346,0.3667,0.3416,0
7.45,76.6,73.7,1,1,3,4,7,4,55.5,85.3,0,50.8,0.7483,0.5067,0.5365,1
9.97,72.6,68.3,0,1,3,0,7,4,73.6,30.6,1,48.6,0.8508,0.3467,0.5909,1
9.26,68.7,51.6,0,2,0,3,3,2,56.1,74.0,1,72.4,0.764,0.4533,0.3384,1
6.26,76.4,46.7,1,0,3,3,5,3,71.3,68.7,2,83.2,0.6209,0.3,0.4838,0
6.88,68.3,71.4,0,2,3,0,7,8,62.1,53.2,1,35.2,0.6934,0.5133,0.7162,1
5.59,82.4,86.0,1,1,1,4,6,5,82.4,57.8,3,56.4,0.7005,0.3867,0.6271,1
6.55,53.0,69.0,0,1,2,2,5,5,67.6,61.1,3,45.6,0.6325,0.3667,0.5527,1
7.55,65.5,78.6,0,1,3,2,2,3,85.5,38.4,0,55.6,0.7375,0.4267,0.4366,1
8.53,96.5,81.2,0,0,5,2,4,2,42.6,27.3,0,86.8,0.8706,0.38,0.3277,0
6.4,64.5,71.5,0,0,5,1,5,4,54.3,70.4,2,61.8,0.6598,0.34,0.473,1
6.48,69.1,57.4,1,2,2,0,2,1,58.0,33.8,0,44.9,0.6404,0.4533,0.2739,0
4.84,61.4,70.5,0,1,3,1,6,2,42.6,36.4,1,30.4,0.5718,0.3867,0.3879,1
7.02,76.0,83.7,0,2,2,2,5,2,39.9,46.2,0,73.0,0.7504,0.5333,0.3496,1
6.03,63.2,74.9,0,0,3,4,1,1,64.9,59.8,1,46.7,0.6467,0.34,0.2646,0
6.62,69.8,77.7,0,0,2,1,4,6,70.0,46.5,1,41.0,0.6996,0.16,0.5699,0
6.24,82.2,62.0,1,0,4,1,4,4,60.0,42.7,2,60.5,0.6722,0.28,0.4601,0
7.1,63.6,65.4,1,0,5,0,5,3,77.1,71.2,1,65.4,0.6773,0.3,0.5012,0
5.27,81.5,66.5,3,1,1,4,8,6,38.1,49.3,1,48.4,0.6331,0.3867,0.5944,0
5.59,81.9,67.3,0,2,5,1,6,1,51.0,41.4,1,38.0,0.6523,0.6733,0.3729,1
9.54,84.7,83.2,0,2,2,4,3,2,36.8,61.7,1,79.6,0.8967,0.6133,0.2803,1
5.78,73.7,40.0,0,1,1,0,2,7,60.5,56.0,0,67.3,0.5734,0.2267,0.5215,0
5.99,100.0,68.4,2,0,0,0,5,9,66.8,55.5,2,72.8,0.7207,0.0,0.7103,0
9.22,84.7,67.0,0,1,2,1,5,6,82.2,62.5,1,48.6,0.8401,0.3267,0.6365,1
10.0,75.9,50.2,0,1,1,1,7,5,36.8,52.7,1,40.1,0.8152,0.2667,0.5204,1
5.91,61.5,76.7,1,1,1,1,8,3,64.7,69.4,0,45.4,0.6411,0.2667,0.5541,1
6.79,70.8,58.6,0,1,2,4,8,3,83.9,30.7,0,27.6,0.6633,0.4467,0.6116,1
7.58,89.1,63.4,0,0,0,2,4,5,40.0,76.1,1,49.0,0.76,0.08,0.4399,0
9.1,92.5,92.0,0,0,2,0,7,7,35.7,39.5,2,42.8,0.9164,0.12,0.5972,1
6.11,89.7,81.1,1,3,3,2,6,5,31.5,27.2,1,53.6,0.7329,0.76,0.4744,1
